string_id,kind,scene,speaker,text_it,max_chars,notes
C1_DLG_001,line,C1_VS_S01,TILDE,"Basta per stanotte. Il resto puo aspettare domani.",84,"Prologo"
C1_DLG_002,line,C1_VS_S01,NICO,"Rosa voleva la ricevuta della farina.",84,"Prologo"
C1_DLG_003,line,C1_VS_S01,TILDE,"Rosa vuole sempre qualcosa prima dell'alba.",84,"Prologo"
C1_DLG_004,line,C1_VS_S01,NICO,"La porto domani.",48,"Prologo"
C1_DLG_005,line,C1_VS_S01,TILDE,"Chiudi bene, allora. Questo paese perde tutto tranne le abitudini.",120,"Prologo"
C1_DLG_006,line,C1_VS_S02,NICO,"Quella non era una lanterna.",56,"Prima luce"
C1_DLG_007,line,C1_VS_S08,NICO,"Ho trovato una cosa tua.",56,"Confronto Rosa"
C1_DLG_008,line,C1_VS_S08,ROSA,"Se e un conto, lascialo sul banco.",64,"Confronto Rosa"
C1_DLG_009,line,C1_VS_S08,NICO,"Non e un conto.",40,"Confronto Rosa"
C1_DLG_010,line,C1_VS_S08,ROSA,"Allora puo aspettare.",40,"Confronto Rosa"
C1_DLG_011,line,C1_VS_S08,NICO,"Parla della porta laterale.",56,"Confronto Rosa"
C1_DLG_012,line,C1_VS_S08,ROSA,"Mezza Rivaquieta conosce quella porta.",72,"Confronto Rosa"
C1_DLG_013,line,C1_VS_S08,NICO,"La chiave e ancora sotto la cassa blu.",72,"Confronto Rosa"
C1_DLG_014,line,C1_VS_S08,ROSA,"...",8,"Pausa drammatica"
C1_DLG_015,line,C1_VS_S08,ROSA,"Se lo vedi, digli solo che il forno apre prima domani.",104,"Confronto Rosa"
C1_DLG_016,line,C1_VS_S09,NICO,"Rosa apre prima domani.",56,"Confronto Beppe"
C1_DLG_017,line,C1_VS_S09,BEPPE,"Allora il paese avra pane. Bella notizia.",72,"Confronto Beppe"
C1_DLG_018,line,C1_VS_S09,NICO,"La chiave e ancora dov'era.",56,"Confronto Beppe"
C1_DLG_019,line,C1_VS_S09,BEPPE,"Doveva buttarla anni fa.",48,"Confronto Beppe"
C1_DLG_020,line,C1_VS_S09,NICO,"Non l'ha fatto.",40,"Confronto Beppe"
C1_DLG_021,line,C1_VS_S09,BEPPE,"Rosa non butta via niente. Neanche quello che punge.",104,"Confronto Beppe"
C1_DLG_022,line,C1_VS_S09,NICO,"La porta sara aperta.",48,"Confronto Beppe"
C1_DLG_023,line,C1_VS_S09,BEPPE,"Tu fai sempre il postino o solo coi testardi?",80,"Confronto Beppe"
C1_DLG_024,line,C1_VS_S09,NICO,"Solo quando non parlano.",48,"Confronto Beppe"
C1_DLG_025,line,C1_VS_S11,ROSA,"Si raffredda.",32,"Colazione all'alba"
C1_DLG_026,line,C1_VS_S11,BEPPE,"Lo so.",24,"Colazione all'alba"
C1_DLG_027,line,C1_VS_S11,ROSA,"Ne ho fatto troppo.",40,"Colazione all'alba"
C1_DLG_028,line,C1_VS_S11,BEPPE,"Lo fai sempre.",32,"Colazione all'alba"
C1_DLG_029,line,C1_VS_S11,ROSA,"Resta finche e caldo.",40,"Colazione all'alba"
C1_DLG_030,line,C1_VS_S11,BEPPE,"Per oggi posso.",40,"Colazione all'alba"
C1_BARK_001,bark,C1_FREE_PRE,VILLAGER_01,"Il forno fa meno rumore del solito.",64,"Pre-payoff"
C1_BARK_002,bark,C1_FREE_PRE,VILLAGER_02,"Beppe lavora anche al buio, ormai.",64,"Pre-payoff"
C1_BARK_003,bark,C1_FREE_POST,VILLAGER_01,"Hai sentito? Il pane oggi profuma da mezza piazza.",88,"Post-payoff"
C1_BARK_004,bark,C1_FREE_POST,VILLAGER_02,"Era da un po' che non vedevo Beppe passare di qui.",88,"Post-payoff"
C1_BARK_005,bark,C1_FREE_POST,ROSA,"Non toccare quel vassoio. Quello resta li.",72,"Post-payoff"
C1_BARK_006,bark,C1_FREE_POST,BEPPE,"Prendo solo questo e torno al molo. Forse.",72,"Post-payoff"
