string_id,namespace,kind,scene,speaker,text_it,max_chars,notes
C1_OBJ_001,ui,objective,GLOBAL,SYSTEM,"Chiudi l'ufficio e torna a casa",48,"Objective iniziale"
C1_OBJ_002,ui,objective,GLOBAL,SYSTEM,"Raggiungi la luce sopra il forno",48,"Dopo uscita ufficio"
C1_OBJ_003,ui,objective,GLOBAL,SYSTEM,"Raccogli i frammenti della lettera",48,"Fase raccolta"
C1_OBJ_004,ui,objective,GLOBAL,SYSTEM,"Segui la scia verso il molo",48,"Supporto navigazione"
C1_OBJ_005,ui,objective,GLOBAL,SYSTEM,"Ricomponi la busta",48,"Dopo 4 frammenti"
C1_OBJ_006,ui,objective,GLOBAL,SYSTEM,"Capisci a chi appartiene",48,"Fase deduzione"
C1_OBJ_007,ui,objective,GLOBAL,SYSTEM,"Parla con Rosa",48,"Dopo deduzione corretta"
C1_OBJ_008,ui,objective,GLOBAL,SYSTEM,"Parla con Beppe",48,"Dopo dialogo con Rosa"
C1_OBJ_009,ui,objective,GLOBAL,SYSTEM,"Apri la porta laterale del forno",48,"Setup delivery"
C1_OBJ_010,ui,objective,GLOBAL,SYSTEM,"Torna al forno prima dell'alba",48,"Setup payoff"
C1_HINT_001,ui,hint,C1_VS_S04,SYSTEM,"Le scie si vedono meglio se ti fermi un istante.",72,"Hint follow path"
C1_HINT_002,ui,hint,C1_VS_S07,SYSTEM,"La lettera conosce troppo bene il forno per essere destinata a chi ci entra tutti i giorni.",110,"Feedback errore deduzione"
C1_HINT_003,ui,hint,C1_VS_S10,SYSTEM,"La chiave dovrebbe essere dove la lettera diceva.",72,"Hint su cassa blu"
C1_SYS_001,system,toast,C1_VS_S03,SYSTEM,"Hai trovato un frammento di lettera.",56,"Toast raccolta primo frammento"
C1_SYS_002,system,toast,C1_VS_S05,SYSTEM,"La lettera e quasi completa.",56,"Toast frammenti 3 su 4"
C1_SYS_003,system,toast,C1_VS_S06,SYSTEM,"La busta e ricomposta.",56,"Esito puzzle"
C1_SYS_004,system,toast,C1_VS_S06,SYSTEM,"La lettera parla di pane, di una porta laterale e di una cassa blu.",120,"Riassunto clue post-lettera"
C1_SYS_005,system,toast,C1_VS_S07,SYSTEM,"Forse il destinatario non e chi lavora ogni giorno nel forno.",96,"Feedback errore alternativa"
C1_SYS_006,system,toast,C1_VS_S07,SYSTEM,"Sai a chi appartiene la lettera.",56,"Deduzione corretta"
C1_SYS_007,system,toast,C1_VS_S10,SYSTEM,"Hai trovato la chiave.",56,"Pickup chiave"
C1_SYS_008,system,toast,C1_VS_S10,SYSTEM,"La porta laterale e aperta.",56,"Esito interazione porta"
C1_SYS_009,system,toast,C1_VS_S12,SYSTEM,"Il forno e di nuovo acceso.",56,"World-state reward"
C1_PRM_001,ui,prompt,C1_VS_S02,SYSTEM,"Osserva",24,"Prompt stella"
C1_PRM_002,ui,prompt,C1_VS_S03,SYSTEM,"Raccogli",24,"Prompt frammento"
C1_PRM_003,ui,prompt,C1_VS_S06,SYSTEM,"Ricomponi",24,"Prompt puzzle busta"
C1_PRM_004,ui,prompt,C1_VS_S07,SYSTEM,"Deduzione",24,"Prompt scelta destinatario"
C1_PRM_005,ui,prompt,C1_VS_S08,SYSTEM,"Parla",24,"Prompt Rosa"
C1_PRM_006,ui,prompt,C1_VS_S09,SYSTEM,"Parla",24,"Prompt Beppe"
C1_PRM_007,ui,prompt,C1_VS_S10,SYSTEM,"Guarda sotto",24,"Prompt cassa blu"
C1_PRM_008,ui,prompt,C1_VS_S10,SYSTEM,"Apri",24,"Prompt porta laterale"
C1_PRM_009,ui,prompt,C1_VS_S11,SYSTEM,"Entra",24,"Prompt scena d'alba"
C1_DLG_001,dialogue,line,C1_VS_S01,TILDE,"Basta per stanotte. Il resto puo aspettare domani.",84,"Prologo"
C1_DLG_002,dialogue,line,C1_VS_S01,NICO,"Rosa voleva la ricevuta della farina.",84,"Prologo"
C1_DLG_003,dialogue,line,C1_VS_S01,TILDE,"Rosa vuole sempre qualcosa prima dell'alba.",84,"Prologo"
C1_DLG_004,dialogue,line,C1_VS_S01,NICO,"La porto domani.",48,"Prologo"
C1_DLG_005,dialogue,line,C1_VS_S01,TILDE,"Chiudi bene, allora. Questo paese perde tutto tranne le abitudini.",120,"Prologo"
C1_DLG_006,dialogue,line,C1_VS_S02,NICO,"Quella non era una lanterna.",56,"Prima luce"
C1_DLG_007,dialogue,line,C1_VS_S08,NICO,"Ho trovato una cosa tua.",56,"Confronto Rosa"
C1_DLG_008,dialogue,line,C1_VS_S08,ROSA,"Se e un conto, lascialo sul banco.",64,"Confronto Rosa"
C1_DLG_009,dialogue,line,C1_VS_S08,NICO,"Non e un conto.",40,"Confronto Rosa"
C1_DLG_010,dialogue,line,C1_VS_S08,ROSA,"Allora puo aspettare.",40,"Confronto Rosa"
C1_DLG_011,dialogue,line,C1_VS_S08,NICO,"Parla della porta laterale.",56,"Confronto Rosa"
C1_DLG_012,dialogue,line,C1_VS_S08,ROSA,"Mezza Rivaquieta conosce quella porta.",72,"Confronto Rosa"
C1_DLG_013,dialogue,line,C1_VS_S08,NICO,"La chiave e ancora sotto la cassa blu.",72,"Confronto Rosa"
C1_DLG_014,dialogue,line,C1_VS_S08,ROSA,"...",8,"Pausa drammatica"
C1_DLG_015,dialogue,line,C1_VS_S08,ROSA,"Se lo vedi, digli solo che il forno apre prima domani.",104,"Confronto Rosa"
C1_DLG_016,dialogue,line,C1_VS_S09,NICO,"Rosa apre prima domani.",56,"Confronto Beppe"
C1_DLG_017,dialogue,line,C1_VS_S09,BEPPE,"Allora il paese avra pane. Bella notizia.",72,"Confronto Beppe"
C1_DLG_018,dialogue,line,C1_VS_S09,NICO,"La chiave e ancora dov'era.",56,"Confronto Beppe"
C1_DLG_019,dialogue,line,C1_VS_S09,BEPPE,"Doveva buttarla anni fa.",48,"Confronto Beppe"
C1_DLG_020,dialogue,line,C1_VS_S09,NICO,"Non l'ha fatto.",40,"Confronto Beppe"
C1_DLG_021,dialogue,line,C1_VS_S09,BEPPE,"Rosa non butta via niente. Neanche quello che punge.",104,"Confronto Beppe"
C1_DLG_022,dialogue,line,C1_VS_S09,NICO,"La porta sara aperta.",48,"Confronto Beppe"
C1_DLG_023,dialogue,line,C1_VS_S09,BEPPE,"Tu fai sempre il postino o solo coi testardi?",80,"Confronto Beppe"
C1_DLG_024,dialogue,line,C1_VS_S09,NICO,"Solo quando non parlano.",48,"Confronto Beppe"
C1_DLG_025,dialogue,line,C1_VS_S11,ROSA,"Si raffredda.",32,"Colazione all'alba"
C1_DLG_026,dialogue,line,C1_VS_S11,BEPPE,"Lo so.",24,"Colazione all'alba"
C1_DLG_027,dialogue,line,C1_VS_S11,ROSA,"Ne ho fatto troppo.",40,"Colazione all'alba"
C1_DLG_028,dialogue,line,C1_VS_S11,BEPPE,"Lo fai sempre.",32,"Colazione all'alba"
C1_DLG_029,dialogue,line,C1_VS_S11,ROSA,"Resta finche e caldo.",40,"Colazione all'alba"
C1_DLG_030,dialogue,line,C1_VS_S11,BEPPE,"Per oggi posso.",40,"Colazione all'alba"
C1_BARK_001,bark,line,C1_FREE_PRE,VILLAGER_01,"Il forno fa meno rumore del solito.",64,"Pre-payoff"
C1_BARK_002,bark,line,C1_FREE_PRE,VILLAGER_02,"Beppe lavora anche al buio, ormai.",64,"Pre-payoff"
C1_BARK_003,bark,line,C1_FREE_POST,VILLAGER_01,"Hai sentito? Il pane oggi profuma da mezza piazza.",88,"Post-payoff"
C1_BARK_004,bark,line,C1_FREE_POST,VILLAGER_02,"Era da un po' che non vedevo Beppe passare di qui.",88,"Post-payoff"
C1_BARK_005,bark,line,C1_FREE_POST,ROSA,"Non toccare quel vassoio. Quello resta li.",72,"Post-payoff"
C1_BARK_006,bark,line,C1_FREE_POST,BEPPE,"Prendo solo questo e torno al molo. Forse.",72,"Post-payoff"
C1_LTR_001,letter,title,C1_VS_S06,ROSA,"Il pane del mattino",48,"Titolo lettera cardine 1"
C1_LTR_002,letter,body,C1_VS_S06,ROSA,"Beppe,\nmetto ancora da parte il primo pane prima dell'alba.\nDico a tutti che e solo abitudine, ma non e vero. Lo faccio perche continuo a guardare la porta laterale come se dovessi entrare da un momento all'altro, con le scarpe bagnate e una scusa cattiva pronta in bocca.\nDopo papa ho stretto tutto troppo forte, anche te.\nPensavo fosse un modo per non perdere altro. Ti ho solo spinto piu lontano.\nSe vuoi, la tua chiave e ancora sotto la cassa blu.\nIl pane si raffredda in fretta.\nIo no.\nRosa",700,"Corpo lettera completo con newline escaped"
C1_LTR_003,letter,fragment,C1_VS_S03,ROSA,"metto ancora da parte il primo pane",56,"Frammento 1"
C1_LTR_004,letter,fragment,C1_VS_S04,ROSA,"continuo a guardare la porta laterale",64,"Frammento 2"
C1_LTR_005,letter,fragment,C1_VS_S05,ROSA,"la tua chiave e ancora sotto la cassa blu",72,"Frammento 3"
C1_LTR_006,letter,fragment,C1_VS_S05,ROSA,"il pane si raffredda in fretta",56,"Frammento 4"
C1_UI_001,ui,button,GLOBAL,SYSTEM,"Continua",16,"Button generico dialogo"
C1_UI_002,ui,button,GLOBAL,SYSTEM,"Chiudi",16,"Button chiusura"
C1_UI_003,ui,button,GLOBAL,SYSTEM,"Rileggi",16,"Button lettera"
C1_UI_004,ui,button,GLOBAL,SYSTEM,"Consegna",16,"Button conferma deduzione"
C1_UI_005,ui,button,GLOBAL,SYSTEM,"Annulla",16,"Button annulla"
C1_UI_006,ui,label,C1_VS_S06,SYSTEM,"Frammenti raccolti",32,"Label puzzle/lettera"
C1_UI_007,ui,label,C1_VS_S07,SYSTEM,"Destinatario",24,"Label deduzione"
C1_UI_008,ui,label,C1_VS_S12,SYSTEM,"Rivaquieta all'alba",32,"Label post-payoff"
